premises,conclusion,label
"The winner of the 1992 du Maurier Classic was Steinhauer.
Steinhauer participated in the 1992 du Maurier Classic.
One six-way tie was on the leaderboard, and one person in the six-way tie was from Belgium.
Descampe is from Belgium and is on the leaderboard of the 1992 du Maurier Classic.
All people on the leaderboard of the 1992 du Maurier Classic participated in the 1992 du Maurier Classic.",Steinhauer was not the winner of the 1992 du Maurier Classic.,False
"The winner of the 1992 du Maurier Classic was Steinhauer.
Steinhauer participated in the 1992 du Maurier Classic.
One six-way tie was on the leaderboard, and one person in the six-way tie was from Belgium.
Descampe is from Belgium and is on the leaderboard of the 1992 du Maurier Classic.
All people on the leaderboard of the 1992 du Maurier Classic participated in the 1992 du Maurier Classic.",Descampe is in the six-way tie in the leaderboard of the 1992 du Maurier Classic.,Uncertain
"Jane does not like any animals that bark.
All dogs are animals that bark.
Jane likes all animals that jump.
If an animal has legs, then it jumps.
If an animal is terricolous, then it has legs. 
KiKi is an animal.
If KiKi neither jumps nor has legs, then KiKi is terricolous or has legs.",KiKi is terricolous.,Uncertain
"Jane does not like any animals that bark.
All dogs are animals that bark.
Jane likes all animals that jump.
If an animal has legs, then it jumps.
If an animal is terricolous, then it has legs. 
KiKi is an animal.
If KiKi neither jumps nor has legs, then KiKi is terricolous or has legs.",KiKi is a barking dog.,False
"Jane does not like any animals that bark.
All dogs are animals that bark.
Jane likes all animals that jump.
If an animal has legs, then it jumps.
If an animal is terricolous, then it has legs. 
KiKi is an animal.
If KiKi neither jumps nor has legs, then KiKi is terricolous or has legs.",KiKi does not bark and he is not a dog.,True
"Ailton Silva, born in 1995, is commonly known as Ailton.
Ailton is a football player who was loaned out to Braga.
Ailton Silva is a Brazilian footballer who plays for Náutico.
Náutico is a football club along with Braga.
Fluminense is a football club.",Ailton Silva played for Fluminense.,Uncertain
"Ailton Silva, born in 1995, is commonly known as Ailton.
Ailton is a football player who was loaned out to Braga.
Ailton Silva is a Brazilian footballer who plays for Náutico.
Náutico is a football club along with Braga.
Fluminense is a football club.",Ailton Silva was loaned out to a football club.,Uncertain
"People in this club who perform in school talent shows often attend and are very engaged with school events.
People in this club either perform in school talent shows often or are inactive and disinterested community members.
People in this club who chaperone high school dances are not students who attend the school.
All people in this club who are inactive and disinterested members of their community chaperone high school dances.
All young children and teenagers in this club who wish to further their academic careers and educational opportunities are students who attend the school. 
Bonnie is in this club and she either both attends and is very engaged with school events and is a student who attends the school or is not someone who both attends and is very engaged with school events and is not a student who attends the school.","If Bonnie either chaperones high school dances or, if she does not, she performs in school talent shows often, then Bonnie is both a young child or teenager who wishes to further her academic career and educational opportunities and an inactive and disinterested member of the community.",False
"Diamond Mine is a professional wrestling stable formed in WWE.
Roderick Strong leads Diamond Mine.
Diamond Mine includes the Creed Brothers and Ivy Nile.
Imperium has a feud with Diamond Mine.",Imperium doesn't have a feud with a professional wrestling stable that includes Ivy Nile.,False
"No digital media are analog.
Every printed text is analog media.
All streaming services are digital media.
If an object is a hardcover book, then it is printed text.
If 1984 is a streaming service, then 1984 is a hardcover book.",1984 is a streaming service.,False
"No digital media are analog.
Every printed text is analog media.
All streaming services are digital media.
If an object is a hardcover book, then it is printed text.
If 1984 is a streaming service, then 1984 is a hardcover book.",1984 is not a streaming service.,True
"People who are born in a multiple birth with siblings spend a lot of time hanging out with and playing with their siblings.
If people have siblings who were born together, then they were born in a multiple birth.
If people complain often about annoying siblings, then they have siblings who were born together.
If people live at home, then they do not live with strangers.
If people spend a lot of time hanging out with and playing with their siblings, then they often live at home. 
Luke either is a baby born in a multiple birth and live with strangers, or is not a baby born in a multiple birth and does not live with strangers",Luke is neither born in a multiple birth nor complains often about annoying siblings.,True
"It costs $205 to take the GRE test, which is cheaper than $300.
ETS provides financial aid to those GRE applicants who prove economic hardship.
Those living in single-parent families or having few resources available to them can prove economic hardship.
Tom lives in a single-parent family.
Tom's dad has been out of work, and Tom has few resources available to them. 
Tom is applying to take the GRE test.",ETS provides financial aid to Tom.,True
"It costs $205 to take the GRE test, which is cheaper than $300.
ETS provides financial aid to those GRE applicants who prove economic hardship.
Those living in single-parent families or having few resources available to them can prove economic hardship.
Tom lives in a single-parent family.
Tom's dad has been out of work, and Tom has few resources available to them. 
Tom is applying to take the GRE test.",No one taking the GRE test has financial aid provided to them by something.,False
"If people spill a lot of food on their clothing, then they are not notably tidy.
All clumsy foodies who go out frequently to find new food restaurants to try are people who spill a lot of food on their clothing.
If people are cleanly, then they are notably tidy.
If people value order and spotlessness, then they are cleanly.
All people whose families prioritize order and spotlessness themselves value order and spotlessness.
Peter is either a person who spills a lot of food on his clothing and is cleanly, or a person who does not spill a lot of food on his clothing and is not cleanly",Peter is either a  clumsy foodie who goes out frequently to find new food restaurants to try or he is someone whose family prioritizes order and spotlessness.,False
"If people spill a lot of food on their clothing, then they are not notably tidy.
All clumsy foodies who go out frequently to find new food restaurants to try are people who spill a lot of food on their clothing.
If people are cleanly, then they are notably tidy.
If people value order and spotlessness, then they are cleanly.
All people whose families prioritize order and spotlessness themselves value order and spotlessness.
Peter is either a person who spills a lot of food on his clothing and is cleanly, or a person who does not spill a lot of food on his clothing and is not cleanly","Peter is either both a clumsy foodie who goes out frequently to find new food restaurants to try and issomeone whose family prioritizes order and spotlessness, or he neither is a clumsy foodie who goes out frequently to find new food restaurants to try nor does his family prioritize order and spotlessness.",True
"All people who make wedding plans are people who are engaged.
All people who invite others to come to their ceremony make wedding plans.
Anyone who has a well-attended wedding invites others to come to their ceremony.
Some people that have well-attended weddings have larger families.
If John is engaged, then John does not invite friends to their ceremony and make wedding plans.
If John has a larger family, then either John has a well-attended wedding or invites friends to their ceremony.",John has a larger family.,False
"Plungers suck.
Vacuums suck.
Vampires suck.
Space is a vacuum.
A duster is a household appliance that doesn't suck.","If something is a household appliance, it sucks.",False
"A podcast is not a novel.
If a person is born in American City, the person is American.
If a book is a novel and it is written by a person, then the person is a novel writer.
Dani Shapiro is an American writer.
Family History is written by Dani Shapiro.
Family History is a novel written in 2003.
Dani Shapiro created a podcast called Family Secrets.
Boston is an American city.",Family Secrets is a novel.,False
"People in this club who perform in school talent shows often attend and are very engaged with school events.
People in this club either perform in school talent shows often or are inactive and disinterested community members.
People in this club who chaperone high school dances are not students who attend the school.
All people in this club who are inactive and disinterested members of their community chaperone high school dances.
All young children and teenagers in this club who wish to further their academic careers and educational opportunities are students who attend the school. 
Bonnie is in this club and she either both attends and is very engaged with school events and is a student who attends the school or is not someone who both attends and is very engaged with school events and is not a student who attends the school.","If Bonnie is either both a young child or teenager who wishes to further her academic career and educational opportunities and chaperones high school dances or neither is a young child nor teenager who wishes to further her academic career and educational opportunities, then Bonnie is either a student who attends the school or is an inactive and disinterested member of the community.",True
"All rabbits that can be spotted near the campus are cute. 
Some turtles can be spotted near the campus. 
The only animals that can be spotted near the campus are rabbits and squirrels.
If something is skittish, then it is not calm.
All the squirrels that can be spotted near the campus are skittish.
Rockie can be spotted near the campus, and it is calm.","If Rockie is not both a turtle and a squirrel, then Rockie is either cute or skittish.",True
"Symphony No. 9 is a music piece.
Composers write music pieces.
Beethoven wrote Symphony No. 9.
Vienna Music Society premiered Symphony No. 9.
Vienna Music Society is an orchestra.
Beethoven leads the Vienna Music Society.
Orchestras are led by conductors.",Beethoven is a composer.,True
"Symphony No. 9 is a music piece.
Composers write music pieces.
Beethoven wrote Symphony No. 9.
Vienna Music Society premiered Symphony No. 9.
Vienna Music Society is an orchestra.
Beethoven leads the Vienna Music Society.
Orchestras are led by conductors.",Beethoven is not a conductor.,False
"All of Zaha Hadid's design styles that Max adores have interesting geometries.
No brutalist buildings that Max adores have interesting geometries.
Every style that Max adores is either Zaha Hadid's design style or Kelly Wearstler's design style. 
All of Kelly Wearstler's design styles that Max adores are evocative.
All of Kelly Wearstler's design styles that Max adores are dreamy.
If a design by Max that he adores has interesting geometries, then the design is a brutalist building and evocative.",A design by Max is evocative and dreamy.,True
"All of Zaha Hadid's design styles that Max adores have interesting geometries.
No brutalist buildings that Max adores have interesting geometries.
Every style that Max adores is either Zaha Hadid's design style or Kelly Wearstler's design style. 
All of Kelly Wearstler's design styles that Max adores are evocative.
All of Kelly Wearstler's design styles that Max adores are dreamy.
If a design by Max that he adores has interesting geometries, then the design is a brutalist building and evocative.",A design by Max is either evocative or dreamy.,False
"If someone is ranked highly by the Women's Tennis Association, then they are one of the most active players in major tennis. 
Everyone who lost to Iga Świątek at Roland Garros 2022 is ranked highly by the Women's Tennis Association.
All female tennis players at Roland Garros 2022 lost to Iga Świątek.
All tennis players at Roland Garros 2022 are either female or male.
All male tennis players at Roland Garros in 2022 lost to Rafael Nadal.
If Coco Gauff is ranked highly by the Women's Tennis Association or lost to Rafael Nadal, then Coco Gauff is not a male tennis player at Roland Garros 2022.
Coco Gauff is at Roland Garros 2022.",Coco Gauff is among the most active Grand-Slam players.,True
"If someone is ranked highly by the Women's Tennis Association, then they are one of the most active players in major tennis. 
Everyone who lost to Iga Świątek at Roland Garros 2022 is ranked highly by the Women's Tennis Association.
All female tennis players at Roland Garros 2022 lost to Iga Świątek.
All tennis players at Roland Garros 2022 are either female or male.
All male tennis players at Roland Garros in 2022 lost to Rafael Nadal.
If Coco Gauff is ranked highly by the Women's Tennis Association or lost to Rafael Nadal, then Coco Gauff is not a male tennis player at Roland Garros 2022.
Coco Gauff is at Roland Garros 2022.",Coco Gauff is not both a player who lost to Iga Świątek at Roland Garros 2022 and one of the most active players in major tennis.,False
"All Romance languages are Indo-European languages.
Romance languages are a language family.
All languages within a language family are related to each other.
French and Spanish are both Romance languages.
German is related to Spanish.
Basque is not related to any other language.",Basque is a Romance language.,False
"Billings is a city in the state of Montana in U.S.
The state of Montana includes the cities of Butte, Helena, and Missoula.
White Sulphur Springs and Butte are cities in the same state in U.S.
The city of St Pierre is not in the state of Montana.
Any city in Butte is not in St Pierre.
A city can only be in one state in U.S.  except for Bristol, Texarkana, Texhoma and Union City.",Butte and St Pierre are in the same state.,False
"Yale University is a private Ivy League research university.
Yale University moved to New Haven in 1716.
Yale university's endowment was valued at $42.3 billion.
A list of residential colleges at Yale: Benjamin Franklin College, Berkeley College, Branford College, Davenport College, Ezra Stiles College, Grace Hopper College, Jonathan Edwards College, Morse College, Pauli Murray College, Pierson College, Saybrook College, Silliman College, Timothy Dwight College, and Trumbull College.",Pierson College is a residential college at Yale.,True
"Badults is a British Sitcom series starring members of Pappy's.
Badults was piloted in July 2013 on BBC Three.
The Working title ""The Secret Dude Society"" was used for Badults.
Andrew Collins was the script editor for Badults.",No members of Pappy's have starred in a show piloting on BBC Two or BBC Three.,False
"All growth stocks are bought to earn profits from rapid price appreciation.
If the stock price is bought to earn profits from rapid price appreciation, then it is not suitable for a retirement fund.
Some stocks are growth stocks.
All mature stocks are suitable for a retirement fund.
KO is a mature stock.",KO is a stock and a growth stock.,False
"All growth stocks are bought to earn profits from rapid price appreciation.
If the stock price is bought to earn profits from rapid price appreciation, then it is not suitable for a retirement fund.
Some stocks are growth stocks.
All mature stocks are suitable for a retirement fund.
KO is a mature stock.","If KO is a growth stock or bought to earn profits from rapid price appreciation, then KO is neither a stock nor is its price volatile.",True
"All vehicle registration plates in Istanbul begin with the number 34.
Plates that do not begin with the number 34 are not from Istanbul. 
Joe's vehicle registration plate is from Istanbul. 
Tom's license plate begins with the number 35. 
If a license plate begins with the number 35, then it does not begin with the number 34.",Tom's license plate is from Istanbul.,False
"If people at Mary's school work in student jobs on campus, then they need to earn money to help pay for their college tuition.
If people at Mary's school order takeout frequently in college, then they work in student jobs on campus.
People at Mary's school order takeout frequently in college or enjoy the dining hall meals and recipes.
If people at Mary's school enjoy the dining hall meals and recipes, then they are not picky eaters.
If people at Mary's school enjoy the dining hall meals and recipes, then they spend a lot of their time eating and catching up with friends in the campus dining halls.
Hannah is at Mary's school.
Hannah works in student jobs on campus and if she needs to earn money to help pay for her college tuition, then she is neither picky nor needs to earn money to help pay for her college tuition.",Hannah is at Mary's school and she is not a picky eater and spends a lot of her time eating and catching up with friends in the campus dining halls.,False
"If people at Mary's school work in student jobs on campus, then they need to earn money to help pay for their college tuition.
If people at Mary's school order takeout frequently in college, then they work in student jobs on campus.
People at Mary's school order takeout frequently in college or enjoy the dining hall meals and recipes.
If people at Mary's school enjoy the dining hall meals and recipes, then they are not picky eaters.
If people at Mary's school enjoy the dining hall meals and recipes, then they spend a lot of their time eating and catching up with friends in the campus dining halls.
Hannah is at Mary's school.
Hannah works in student jobs on campus and if she needs to earn money to help pay for her college tuition, then she is neither picky nor needs to earn money to help pay for her college tuition.","Hannah is at Mary's school and she either is not a picky eater or, if she is, then she spends a lot of her time eating and catching up with friends in the campus dining halls.",True
"If a restaurant is listed in Yelp’s recommendations, then the restaurant has not received many negative reviews.
All restaurants with a rating greater than four are listed in Yelp’s recommendations.
Some restaurants that do not provide take-out service receive many negative reviews.
All restaurants that are popular among local residents have ratings greater than four.
The Hamden Plaza Subway store has a rating greater than four, or it is popular among local residents.","If the Hamden Plaza Subway store provides take-out service and receives many negative reviews, then its rating is greater than 4 and it does not provide take-out service.",True
"Pets are allowed in some managed buildings.
A deposit is required to rent an apartment in a managed building.
The security deposit can be either equal to the monthly rent at a managed building or more.
Fluffy is Tom's cat.
Cats are pets.
The Olive Garden is a managed building.
The monthly rent at the Olive Garden is $2000.
$2000 is more than $1500.
Tom will rent an apartment in a managed building if he is allowed to move in with Fluffy, and the security deposit is no more than $1500.
If a managed building allows pets, then people are allowed to move in with a pet.",Tom will rent an apartment in The Olive Garden.,False
"Pets are allowed in some managed buildings.
A deposit is required to rent an apartment in a managed building.
The security deposit can be either equal to the monthly rent at a managed building or more.
Fluffy is Tom's cat.
Cats are pets.
The Olive Garden is a managed building.
The monthly rent at the Olive Garden is $2000.
$2000 is more than $1500.
Tom will rent an apartment in a managed building if he is allowed to move in with Fluffy, and the security deposit is no more than $1500.
If a managed building allows pets, then people are allowed to move in with a pet.",The security deposit at the Olive Garden is either $2000 or more.,True
"Animals are either invertebrates or vertebrates.
All animals with backbones reproduce by male-and-female mating. 
All vertebrate animals have a backbone.
All bees do not reproduce by male-and-female mating.
All queen bees are bees.
Harry is a bee.",Harry is an invertebrate or a queen bee.,True
"Animals are either invertebrates or vertebrates.
All animals with backbones reproduce by male-and-female mating. 
All vertebrate animals have a backbone.
All bees do not reproduce by male-and-female mating.
All queen bees are bees.
Harry is a bee.","If Harry is either both a vertebrate and an animal with a backbone, or neither a vertebrate nor an animal with a backbone, then Harry is neither an invertebrate nor a queen bee.",False
"It costs $205 to take the GRE test, which is cheaper than $300.
ETS provides financial aid to those GRE applicants who prove economic hardship.
Those living in single-parent families or having few resources available to them can prove economic hardship.
Tom lives in a single-parent family.
Tom's dad has been out of work, and Tom has few resources available to them. 
Tom is applying to take the GRE test.",It costs below US $300 to take the GRE test.,True
"The Picuris Mountains are a mountain range in New Mexico or Texas.
Juan de Onate visited the Picuris Mountains.
The Harding Pegmatite Mine, located in the Picuris Mountains, was donated.
There are no mountain ranges in texas that have mines that have been donated.",The Harding Pegmatite Mine is not located in a mountain range in New Mexico.,False
"If a film is appropriate for people of all ages, then children can watch it without guidance from parents.
If a film contains excessive erotic and violent content, children cannot watch it without guidance from their parents.
If a film is rated General Audience, then it is appropriate for people of all ages.
All family-friendly animated films are rated General Audience.
All movies in the Frozen series are family-friendly animated films.
“Hachi: A dog’s Tale” is a film.
“Hachi: A dog’s Tale”  is either a family-friendly animated film or is appropriate for people of all ages.","""Hachi: A dog's Tale"" contains excessive erotic and violent content or is in the ""Frozen"" series or both.",False
"If a film is appropriate for people of all ages, then children can watch it without guidance from parents.
If a film contains excessive erotic and violent content, children cannot watch it without guidance from their parents.
If a film is rated General Audience, then it is appropriate for people of all ages.
All family-friendly animated films are rated General Audience.
All movies in the Frozen series are family-friendly animated films.
“Hachi: A dog’s Tale” is a film.
“Hachi: A dog’s Tale”  is either a family-friendly animated film or is appropriate for people of all ages.","""Hachi: A dog's Tale"" either contains excessive erotic and violent content and is a film in the ""Frozen"" series, or it neither contains excessive erotic and violent content nor is a film in the ""Frozen"" series.",True
"All hydrocarbons are organic compounds .
All alkanes are hydrocarbons
All organic compounds are chemical compounds.
All organic compounds contain carbon.
No chemical compounds contain only one element.
The mixture either both is a chemical compound and contains only one element, or neither.","If the mixture contains only one element or contains carbon, then the mixture is neither a chemical compound nor an alkane.",True
"A hawk never swims. 
Some birds are hawks.",All birds swim.,False
"Some show airing at 8 pm on Monday gives out roses on TV.
If a show gives out roses on TV, then the show is an episode of The Bachelor.
The Bachelor portrays the lives of real people.
All shows portraying the lives of real people are reality TV shows.
Breaking Bad is a show.
Breaking Bad is not a reality TV show.",Breaking Bad is a TV show in which roses are given out on Monday at 8 pm.,False
"Some show airing at 8 pm on Monday gives out roses on TV.
If a show gives out roses on TV, then the show is an episode of The Bachelor.
The Bachelor portrays the lives of real people.
All shows portraying the lives of real people are reality TV shows.
Breaking Bad is a show.
Breaking Bad is not a reality TV show.","If roses are given out during Breaking Bad, then it is on Monday at 8 pm.",True
"Heinrich Schmidt was a German politician. 
Heinrich Schmidt was also a member of the Prussian State Parliament and the Nazi Reichstag.",No politicians are part of the Nazi Reichstag.,False
"Events are either happy or sad.
At least one event is happy.",All events are sad.,False
"Ailton Silva, born in 1995, is commonly known as Ailton.
Ailton is a football player who was loaned out to Braga.
Ailton Silva is a Brazilian footballer who plays for Náutico.
Náutico is a football club along with Braga.
Fluminense is a football club.",No one playing for Nautico is Brazilian.,False
"Ailton Silva, born in 1995, is commonly known as Ailton.
Ailton is a football player who was loaned out to Braga.
Ailton Silva is a Brazilian footballer who plays for Náutico.
Náutico is a football club along with Braga.
Fluminense is a football club.",Ailton Silva does not play for a football club.,False
"Ailton Silva, born in 1995, is commonly known as Ailton.
Ailton is a football player who was loaned out to Braga.
Ailton Silva is a Brazilian footballer who plays for Náutico.
Náutico is a football club along with Braga.
Fluminense is a football club.",Ailton was not loaned out to a football club.,False
"None of the students who currently work in the library are from the computer science department. 
All of the students with part-time jobs offered by the university currently work in the library. 
All of the students who are taking the database course are from the computer science department. 
All of the students taking a class with Professor David are taking the database course. 
All students working in the lab are taking a class with Professor David.
James is a student working in the lab. 
James doesn't work in the lab or have a part-time job offered by the university.",James has a part-time job offered by the university.,False
"None of the students who currently work in the library are from the computer science department. 
All of the students with part-time jobs offered by the university currently work in the library. 
All of the students who are taking the database course are from the computer science department. 
All of the students taking a class with Professor David are taking the database course. 
All students working in the lab are taking a class with Professor David.
James is a student working in the lab. 
James doesn't work in the lab or have a part-time job offered by the university.",James does not have a part-time job offered by the university.,True
"None of the students who currently work in the library are from the computer science department. 
All of the students with part-time jobs offered by the university currently work in the library. 
All of the students who are taking the database course are from the computer science department. 
All of the students taking a class with Professor David are taking the database course. 
All students working in the lab are taking a class with Professor David.
James is a student working in the lab. 
James doesn't work in the lab or have a part-time job offered by the university.",James either takes the database course or has a part-time job offered by the university.,True
"None of the students who currently work in the library are from the computer science department. 
All of the students with part-time jobs offered by the university currently work in the library. 
All of the students who are taking the database course are from the computer science department. 
All of the students taking a class with Professor David are taking the database course. 
All students working in the lab are taking a class with Professor David.
James is a student working in the lab. 
James doesn't work in the lab or have a part-time job offered by the university.",James takes the database course.,Uncertain
